id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,league,year
227,Robert Lewandowski,29,2467,41,32.0773394331336,7,4.815550094470382,135,32,4,0,F S,Bayern Munich,33,25.25734955817461,31.7401881814003,5.689343376085162,bundesliga,2020
6170,André Silva,32,2787,28,25.599131893366575,5,5.467085654847324,114,31,1,0,F,Eintracht Frankfurt,21,20.294785987585783,26.746589360758662,4.0964294988662004,bundesliga,2020
8260,Erling Haaland,28,2416,27,23.59848389774561,6,4.03544756770134,92,27,2,0,F S,Borussia Dortmund,25,20.567368783056736,27.197287127375603,5.896189399063587,bundesliga,2020
956,Andrej Kramaric,28,2386,20,15.52560031786561,5,4.0724228313192725,95,38,2,0,F M S,Hoffenheim,15,11.736730325967073,18.05768814869225,5.372286731377244,bundesliga,2020
7052,Wout Weghorst,34,2954,20,18.310400219634175,8,5.427310448139906,93,45,3,0,F S,Wolfsburg,18,16.03706214018166,24.294328788295388,5.9548529498279095,bundesliga,2020
8812,Sasa Kalajdzic,33,2146,16,11.238244386389852,5,3.236812736839056,66,26,1,0,F S,VfB Stuttgart,16,11.238244386389852,15.1655996683985,3.606147755868733,bundesliga,2020
208,Lars Stindl,30,1985,14,9.211133332923055,8,3.746523540467024,56,43,6,0,F M S,Borussia M.Gladbach,8,3.906859504058957,10.691832376644015,4.132026171311736,bundesliga,2020
155,Max Kruse,22,1648,11,7.4497113805264235,5,4.152542179450393,30,37,0,0,F M S,Union Berlin,6,2.903214318677783,9.334405198693275,4.0433649234473705,bundesliga,2020
224,Thomas Müller,32,2693,11,7.856031823903322,18,11.306575793772936,50,92,0,0,M S,Bayern Munich,10,7.098254848271608,26.149961154907942,12.189973209053278,bundesliga,2020
6338,Lucas Alario,25,1238,11,7.285350728780031,2,0.9252291992306709,41,15,2,0,F S,Bayer Leverkusen,9,5.769796717911959,8.092161528766155,1.9067177083343267,bundesliga,2020
8807,Silas Wamangituka,25,1949,11,7.378054324537516,4,4.952733667567372,45,23,6,0,D F M S,VfB Stuttgart,8,5.104732206556946,12.174139093607664,2.1469371523708105,bundesliga,2020
993,Serge Gnabry,27,1653,10,7.765031499788165,2,6.910004418343306,59,38,4,0,M S,Bayern Munich,10,7.765031499788165,19.873918997123837,8.74215896986425,bundesliga,2020
1236,Patrik Schick,29,1869,9,9.265552673488855,1,2.064981476403773,56,27,4,0,F S,Bayer Leverkusen,9,9.265552673488855,12.458498079329729,3.4694355875253677,bundesliga,2020
5221,Leon Bailey,30,2151,9,6.520500056445599,8,6.349180098623037,58,49,6,0,F M S,Bayer Leverkusen,9,6.520500056445599,15.385578788816929,4.8026268891990185,bundesliga,2020
5266,Vincenzo Grifo,31,2341,9,7.740594930946827,11,7.838894918560982,57,66,2,0,F M S,Freiburg,5,4.7096494026482105,13.716823390685022,5.292960800230503,bundesliga,2020
6271,Ihlas Bebou,32,2193,9,9.119971761479974,7,5.329366520047188,48,39,3,0,D F M S,Hoffenheim,9,9.119971761479974,15.292172404006124,5.0866442220285535,bundesliga,2020
319,Marco Reus,32,2313,8,11.01892376691103,6,7.847996469587088,56,49,1,0,F M S,Borussia Dortmund,8,9.675626702606678,20.437500143423676,9.797865403816104,bundesliga,2020
412,André Hahn,29,2053,8,4.733328433241695,3,2.077149643562734,43,19,4,0,F M S,Augsburg,8,4.733328433241695,8.328997133299708,2.421224804595113,bundesliga,2020
1277,Roland Sallai,28,1694,8,6.838023686781526,3,1.383343892171979,47,15,5,0,F M S,Freiburg,7,6.080245697870851,8.550057578831911,3.147823303937912,bundesliga,2020
4248,Nils Petersen,32,1268,8,5.429026521742344,0,0.45246950164437294,34,10,0,0,F S,Freiburg,7,4.6712500005960464,5.773870201781392,1.8594335988163948,bundesliga,2020
5248,Marcel Sabitzer,27,2041,8,7.702280420809984,3,2.892649285495281,60,30,8,0,M S,RasenBallsport Leipzig,4,4.671254281885922,13.024161607027054,6.877324588596821,bundesliga,2020
5992,Marcus Thuram,29,1756,8,7.582286558113992,3,1.91364408377558,57,17,3,1,F M S,Borussia M.Gladbach,8,7.582286558113992,11.206859802827239,3.494162787683308,bundesliga,2020
6345,Jadon Sancho,26,2083,8,6.7544827070087194,11,8.243653137236834,52,67,0,0,F M S,Borussia Dortmund,7,5.996705586090684,20.981891989707947,10.95314784348011,bundesliga,2020
48,Jhon Córdoba,21,1545,7,6.986443366855383,1,1.3975802082568407,48,24,3,0,F S,Hertha Berlin,7,6.986443366855383,8.612784931436181,0.9991083163768053,bundesliga,2020
5240,Ondrej Duda,32,2574,7,6.291643397882581,4,3.376416535116732,49,42,6,1,F M,FC Cologne,4,3.260535371489823,9.246830257587135,5.571030620485544,bundesliga,2020
5249,Emil Forsberg,29,1566,7,5.906369206495583,4,5.503673082217574,35,37,0,0,F M S,RasenBallsport Leipzig,5,3.6331162424758077,12.01655862107873,5.787226973101497,bundesliga,2020
5353,Josip Brekalo,29,1840,7,4.4268175438046455,3,3.947897493839264,47,37,1,0,F M S,Wolfsburg,7,4.4268175438046455,10.59905712865293,4.949749119579792,bundesliga,2020
5735,Jean-Philippe Mateta,15,1008,7,8.414153879508376,1,1.3461813041940331,28,12,2,0,F S,Mainz 05,6,7.656383937224746,9.505507020279765,1.2976232189685106,bundesliga,2020
7080,Matheus Cunha,27,2164,7,8.202691785991192,4,4.3022706946358085,70,47,9,0,F M S,Hertha Berlin,5,5.929601680487394,12.655638253316283,4.903623064979911,bundesliga,2020
7090,Krzysztof Piatek,32,1630,7,6.4053356274962425,1,0.9840233121067286,41,10,4,0,F S,Hertha Berlin,7,5.647558651864529,6.259493094868958,0.7841152036562562,bundesliga,2020
157,Daniel Caligiuri,33,2675,6,4.513692665845156,4,3.8451388962566853,40,49,5,0,D M S,Augsburg,4,2.240362297743559,7.66736881993711,4.832313146907836,bundesliga,2020
320,Jonas Hofmann,24,1836,6,4.521512384526432,11,5.912428947165608,25,56,1,0,F M S,Borussia M.Gladbach,3,2.248177315108478,6.704236038029194,1.8707362599670887,bundesliga,2020
337,Leroy Sané,32,1819,6,5.361089896410704,9,6.477919643744826,57,33,2,0,M S,Bayern Munich,6,5.361089896410704,20.60544104501605,9.6884706877172,bundesliga,2020
1275,Robin Quaison,28,1485,6,6.046889369376004,2,1.9227150157094002,35,8,1,0,F M S,Mainz 05,5,5.289112162776291,11.021495144814253,4.826903821900487,bundesliga,2020
3300,Christopher Nkunku,28,1890,6,7.504059938713908,6,7.618338754400611,55,71,2,0,F M S,RasenBallsport Leipzig,6,7.504059938713908,17.105754286050797,7.340989783406258,bundesliga,2020
3310,Alassane Pléa,29,1804,6,5.505176402628422,1,3.8594892360270023,62,28,2,0,F M S,Borussia M.Gladbach,6,5.505176402628422,11.608914274722338,3.9902685787528753,bundesliga,2020
4247,Maximilian Philipp,24,1129,6,3.5855443216860294,2,0.8755121044814587,30,14,3,0,M S,Wolfsburg,6,3.5855443216860294,5.242055645212531,1.3832858875393867,bundesliga,2020
5222,Joel Pohjanpalo,20,868,6,6.772306889295578,0,0.9927614238113165,31,8,0,0,F S,"Bayer Leverkusen,Union Berlin",6,6.772306889295578,6.06635108590126,1.0101471785455942,bundesliga,2020
6098,Niclas Füllkrug,19,875,6,5.049042731523514,0,0.2071332037448883,35,5,1,0,F M S,Werder Bremen,4,3.5335707664489746,3.1787083223462105,1.0755869951099157,bundesliga,2020
6708,Bote Baku,34,2877,6,3.724283391609788,6,4.480605527758598,35,43,1,0,D M S,"Mainz 05,Wolfsburg",6,3.724283391609788,15.081191949546337,8.065021788701415,bundesliga,2020
7065,Florian Neuhaus,33,2636,6,3.0260267797857523,5,2.8867469150573015,48,23,9,0,M S,Borussia M.Gladbach,6,3.0260267797857523,13.019774235785007,9.189495597034693,bundesliga,2020
7074,Nicolás González,15,927,6,7.307773096486926,2,1.9631133861839771,50,12,5,0,F M S,VfB Stuttgart,3,4.276910213753581,6.833210181444883,1.5357225369662046,bundesliga,2020
7422,Christoph Baumgartner,31,2393,6,5.605290146544576,3,3.540220429189503,61,34,6,0,F M S,Hoffenheim,6,5.605290146544576,14.063401749357581,8.4560822006315,bundesliga,2020
7810,Ruben Vargas,30,1613,6,3.886008986271918,3,2.9152337135747075,38,25,2,1,F M S,Augsburg,6,3.886008986271918,7.051700482144952,1.281101660337299,bundesliga,2020
8418,Jamal Musiala,26,850,6,2.8830014541745186,1,0.6597437039017677,25,9,0,0,M S,Bayern Munich,6,2.8830014541745186,7.208409074693918,4.659118488430977,bundesliga,2020
9160,Matthew Hoppe,22,1315,6,3.4485140815377235,1,0.7646889947354794,20,8,3,0,F S,Schalke 04,6,3.4485140815377235,4.6318444237113,0.5462505016475916,bundesliga,2020
226,Kingsley Coman,29,1785,5,4.1304193660616875,10,5.677491904236376,52,45,1,0,M S,Bayern Munich,5,4.1304193660616875,14.61808417364955,6.595101764425635,bundesliga,2020
306,Florian Niederlechner,28,1776,5,6.169159272685647,4,2.51738851564005,47,13,2,1,F S,Augsburg,5,6.169159272685647,9.264836352318525,1.397705903276801,bundesliga,2020
335,Leon Goretzka,24,1707,5,3.741094371303916,5,3.0539645981043577,42,20,2,0,M S,Bayern Munich,5,3.741094371303916,14.009976096451283,9.270373517647386,bundesliga,2020
370,Marvin Friedrich,34,3060,5,1.343096498399973,1,1.326512597501278,25,14,1,0,D,Union Berlin,5,1.343096498399973,8.58821923378855,7.896771243773401,bundesliga,2020
373,Mats Hummels,33,2819,5,5.321490712463856,0,0.6973027121275663,30,13,6,0,D S,Borussia Dortmund,5,5.321490712463856,17.53026657178998,15.71328267082572,bundesliga,2020
3347,Ellyes Skhiri,32,2799,5,4.947999348863959,2,0.8226982979103923,18,17,5,0,M,FC Cologne,5,4.947999348863959,5.329231197014451,4.071600053459406,bundesliga,2020
3455,Raphael Guerreiro,27,2226,5,3.6568804755806923,10,7.402729930356145,37,55,1,0,D M S,Borussia Dortmund,5,3.6568804755806923,21.83067725598812,15.198640763759613,bundesliga,2020
5250,Yussuf Poulsen,27,1342,5,5.344542667269707,4,1.9948575086891651,44,14,1,0,F S,RasenBallsport Leipzig,5,5.344542667269707,7.555302873253822,2.9530248939990997,bundesliga,2020
5356,Breel Embolo,31,1424,5,7.532668881118298,2,1.8059892896562815,41,17,4,0,F M S,Borussia M.Gladbach,5,7.532668881118298,11.131392728537321,3.9691374003887177,bundesliga,2020
5706,Dodi Lukebakio,29,1887,5,7.118199795484543,5,2.7050752956420183,42,22,2,1,F M S,Hertha Berlin,3,5.602641761302948,10.63773694448173,3.6904079960659146,bundesliga,2020
6145,Daichi Kamada,32,2383,5,6.00184902921319,12,6.787548180669546,38,55,3,0,D F M S,Eintracht Frankfurt,5,6.00184902921319,19.099796313792467,9.384855227544904,bundesliga,2020
6445,Elvis Rexhbecaj,30,1841,5,2.393365220166743,2,2.5105035211890936,29,26,4,0,M S,FC Cologne,5,2.393365220166743,4.607443891465664,1.1805642060935497,bundesliga,2020
6484,Renato Steffen,21,1594,5,4.376282874494791,4,3.0528148664161563,30,22,3,0,D M S,Wolfsburg,5,4.376282874494791,11.86967140249908,5.752101473510265,bundesliga,2020
6496,Ermedin Demirovic,30,1518,5,5.165380647405982,6,4.5631964802742,42,16,7,0,F S,Freiburg,5,5.165380647405982,9.513705303892493,2.169701097533107,bundesliga,2020
6531,Alexander Sørloth,29,1417,5,7.346802301704884,2,1.9975735060870647,48,27,2,0,F M S,RasenBallsport Leipzig,5,6.589025378227234,9.90918456017971,3.161795577034354,bundesliga,2020
7044,Kevin Möhwald,27,1578,5,1.7985939159989357,1,0.6334564816206694,23,10,2,1,M S,Werder Bremen,5,1.7985939159989357,3.867029432207346,2.233619318343699,bundesliga,2020
7295,Joshua Sargent,32,2541,5,5.817104505375028,2,3.8093943586573005,43,33,7,0,F M S,Werder Bremen,5,5.817104505375028,9.158627063035965,1.8502658195793629,bundesliga,2020
7814,Taiwo Awoniyi,21,1376,5,6.514472082257271,2,1.2689972091466188,29,20,0,0,F S,Union Berlin,5,6.514472082257271,7.922865437343717,1.548149587586522,bundesliga,2020
