id,player_name,season_rows,seasons,minutes,games,goals,npg,xG,npxG,assists,xA,shots,key_passes,xGChain,xGBuildup,main_league,main_team,np_shots,np_goals,np_xg,np_residual,np_conversion,avg_shot_xg,pens_taken,pens_scored,position,pos_share,col_agreement,position_ambiguous,shots_per90,npg_per90,npxg_per90,xa_per90,kp_per90,xgchain_per90,xgbuildup_per90,np_residual_per90,shots_per90_pct,shots_per90_z,npg_per90_pct,npg_per90_z,npxg_per90_pct,npxg_per90_z,xa_per90_pct,xa_per90_z,kp_per90_pct,kp_per90_z,xgchain_per90_pct,xgchain_per90_z,xgbuildup_per90_pct,xgbuildup_per90_z,np_residual_per90_pct,np_residual_per90_z,avg_shot_xg_pct,avg_shot_xg_z,np_conversion_pct,np_conversion_z,shots_head,shots_leftfoot,shots_otherbodypart,shots_rightfoot,goals_head,goals_leftfoot,goals_otherbodypart,goals_rightfoot,residual_head,residual_leftfoot,residual_otherbodypart,residual_rightfoot,reliable_head,reliable_leftfoot,reliable_otherbodypart,reliable_rightfoot,left_share,footedness,weaker_foot_shots,weaker_foot_reliable,zone_edge_of_box,zone_outside_box,zone_six_yard_box,sit_directfreekick,sit_fromcorner,sit_openplay,sit_penalty,sit_setpiece,season_progression,peak_year,peak_residual,trough_year,trough_residual
1665,James Tarkowski,5,5,16114.0,180.0,5.0,5.0,13.678099113050848,13.678099113050848,5.0,10.649976005777717,116.0,74.0,26.7982768015936,24.94411047361791,premier_league,Everton,116.0,5.0,13.678096093237395,-8.68,0.0431,0.1179,0.0,0.0,D,1.0,1.0,False,0.6479,0.0279,0.0764,0.0595,0.4133,0.1497,0.1393,-0.0485,76.7,0.576,43.4,-0.293,86.6,1.014,73.6,0.297,64.3,-0.055,18.2,-0.869,21.0,-0.771,5.1,-1.489,73.4,0.427,35.6,-0.465,92,10,2,12,4,0,0,1,-5.77,-1.65,-0.08,-1.17,True,False,False,False,0.455,two_footed,10,False,0.06,0.009,0.931,0.0,0.595,0.086,0.0,0.319,2020: -2.1 -> 2021: -2.0 -> 2022: -2.0 -> 2023: -2.3 -> 2024: -0.3,2024.0,-0.27,2023.0,-2.34
6978,Giovanni Di Lorenzo,5,5,15938.0,179.0,11.0,11.0,14.317063057795167,14.317063057795167,23.0,23.450195906683803,137.0,216.0,81.64875253848732,65.31105180643499,serie_a,Napoli,137.0,11.0,14.317062150686974,-3.32,0.0803,0.1045,0.0,0.0,D,1.0,1.0,False,0.7736,0.0621,0.0808,0.1324,1.2197,0.4611,0.3688,-0.0187,87.4,1.065,77.4,0.637,89.2,1.161,94.7,1.883,95.1,1.991,91.3,1.509,89.0,1.239,30.6,-0.409,64.5,0.17,57.4,0.016,56,31,1,49,1,4,0,6,-2.64,0.4,-0.09,-0.99,True,True,False,True,0.388,two_footed,31,True,0.175,0.0,0.825,0.0,0.423,0.518,0.0,0.058,2020: -1.0 -> 2021: +0.1 -> 2022: +0.3 -> 2023: -2.1 -> 2024: -0.6,2022.0,0.3,2023.0,-2.1
1228,Bruno Fernandes,5,5,15733.0,181.0,54.0,36.0,55.32427561841905,38.578636799007654,44.0,60.939611218869686,493.0,506.0,132.2377809677273,67.0909601803869,premier_league,Manchester United,471.0,36.0,38.578641870990374,-2.58,0.0764,0.0819,22.0,18.0,F,0.59,1.0,True,2.6943,0.2059,0.2207,0.3486,2.8946,0.7565,0.3838,-0.0148,79.5,0.786,44.2,-0.267,43.7,-0.355,98.8,2.751,99.5,3.263,90.5,1.39,96.8,2.148,54.1,0.136,16.1,-0.997,24.7,-0.677,28,58,0,385,3,5,0,28,-0.41,1.04,,-3.2,True,True,False,True,0.131,right,58,True,0.633,0.019,0.348,0.103,0.087,0.755,0.045,0.01,2020: +0.6 -> 2021: +2.2 -> 2022: -1.9 -> 2023: -0.9 -> 2024: -2.6,2021.0,2.24,2024.0,-2.6
5553,Declan Rice,5,5,15427.0,178.0,18.0,17.0,13.28405088186264,11.0005439594388,21.0,20.828483363613486,196.0,188.0,74.01254585478455,58.532549877651036,premier_league,West Ham,193.0,17.0,11.000544325448562,6.0,0.0881,0.057,3.0,1.0,M,1.0,1.0,False,1.1259,0.0992,0.0642,0.1215,1.0968,0.4318,0.3415,0.035,65.6,0.193,73.1,0.341,49.7,-0.255,70.5,0.351,66.9,0.242,72.7,0.38,82.4,0.739,88.6,0.983,33.4,-0.549,70.6,0.384,21,24,0,148,2,0,0,15,0.3,-1.5,,7.21,False,False,False,True,0.14,right,24,False,0.601,0.021,0.378,0.051,0.153,0.719,0.015,0.061,2020: -0.7 -> 2021: -0.0 -> 2022: +2.5 -> 2023: +3.8 -> 2024: +0.4,2023.0,3.81,2020.0,-0.67
8865,Ollie Watkins,5,5,15366.0,184.0,75.0,70.0,83.16168984770775,77.83350113034248,34.0,23.607822647318244,450.0,180.0,109.45505757071078,25.49976564757526,premier_league,Aston Villa,443.0,70.0,77.83348271250723,-7.83,0.158,0.1757,7.0,5.0,F,1.0,1.0,False,2.5947,0.41,0.4559,0.1383,1.0543,0.6411,0.1494,-0.0459,76.1,0.646,87.5,1.145,89.1,1.328,49.9,-0.147,41.3,-0.381,80.3,0.739,43.7,-0.343,35.5,-0.249,88.5,1.241,83.2,0.908,104,103,0,236,16,16,0,38,-2.06,-3.19,,-2.58,True,True,False,True,0.304,right,103,True,0.138,0.0,0.862,0.0,0.104,0.842,0.016,0.038,2020: -1.8 -> 2021: -0.7 -> 2022: -2.0 -> 2023: -0.3 -> 2024: -3.1,2023.0,-0.26,2024.0,-3.11
1250,Mohamed Salah,5,5,15097.0,180.0,111.0,84.0,117.6027449760586,93.24541136063635,58.0,53.22997402958572,634.0,337.0,174.08215249329805,54.45932412520051,premier_league,Liverpool,602.0,84.0,93.24543573521075,-9.25,0.1395,0.1549,32.0,27.0,F,1.0,1.0,False,3.5888,0.5008,0.5559,0.3173,2.009,1.0378,0.3247,-0.0551,97.0,2.046,95.1,1.774,96.2,2.043,97.7,2.32,91.5,1.509,99.0,2.978,91.7,1.52,31.8,-0.363,77.0,0.744,71.6,0.548,28,487,1,86,5,64,0,15,-0.97,-3.79,-0.1,-4.4,True,True,False,True,0.85,left,86,True,0.243,0.0,0.757,0.009,0.082,0.833,0.05,0.025,2020: +0.3 -> 2021: -1.8 -> 2022: -3.3 -> 2023: -3.6 -> 2024: -0.9,2020.0,0.32,2023.0,-3.61
7726,Ezri Konsa Ngoyo,5,5,15035.0,172.0,7.0,7.0,8.736484519205987,8.736484519205987,0.0,2.9132242584601045,74.0,28.0,43.28935057576746,40.79864752385765,premier_league,Aston Villa,74.0,7.0,8.736483183689412,-1.74,0.0946,0.1181,0.0,0.0,D,1.0,1.0,False,0.443,0.0419,0.0523,0.0174,0.1676,0.2591,0.2442,-0.0104,46.3,-0.221,59.4,0.088,61.6,0.208,29.5,-0.619,22.8,-0.679,57.1,-0.033,64.4,0.148,46.6,-0.108,73.6,0.43,66.4,0.201,43,7,3,21,2,0,0,5,-2.39,-0.57,-0.74,1.97,True,False,False,False,0.25,right,7,False,0.095,0.0,0.905,0.0,0.514,0.203,0.0,0.284,2020: -1.3 -> 2021: +0.8 -> 2022: -0.8 -> 2023: -1.3 -> 2024: +0.9,2024.0,0.9,2023.0,-1.33
647,Harry Kane,5,5,14994.0,173.0,132.0,105.0,123.87922465149313,102.61397245619446,43.0,37.61684254091233,664.0,221.0,150.29942538030446,36.35516565013677,premier_league,Tottenham,636.0,105.0,102.61396475974468,2.39,0.1651,0.1613,28.0,27.0,F,1.0,1.0,False,3.8175,0.6303,0.6159,0.2258,1.3265,0.9022,0.2182,0.0143,97.9,2.368,98.4,2.67,97.8,2.472,86.0,1.059,64.0,0.158,97.3,2.213,70.0,0.388,72.2,0.495,81.5,0.897,86.1,1.046,152,115,3,366,31,19,1,54,-1.92,-0.02,0.12,4.21,True,True,False,True,0.239,right,115,True,0.332,0.016,0.653,0.053,0.096,0.768,0.042,0.041,2020: -0.1 -> 2021: -4.6 -> 2022: +6.5 -> 2023: +1.7 -> 2024: -1.0,2022.0,6.5,2021.0,-4.64
5073,Florian Lejeune,5,5,14949.0,169.0,10.0,10.0,12.423483593855053,12.423483593855053,5.0,4.3267367063090205,208.0,44.0,29.009059803560376,27.020228408277035,la_liga,Rayo Vallecano,208.0,10.0,12.42348315846174,-2.42,0.0481,0.0597,0.0,0.0,D,1.0,1.0,False,1.2523,0.0602,0.0748,0.026,0.2649,0.1746,0.1627,-0.0146,98.6,2.926,76.0,0.585,85.4,0.961,43.7,-0.432,46.3,-0.432,27.0,-0.679,33.2,-0.566,38.0,-0.26,26.3,-0.687,38.7,-0.4,60,7,0,141,2,1,0,7,-2.69,-0.42,,0.69,True,False,False,True,0.047,right,7,False,0.322,0.279,0.399,0.38,0.288,0.226,0.0,0.106,2020: -1.4 -> 2021: -1.1 -> 2022: +1.4 -> 2023: +0.2 -> 2024: -1.6,2022.0,1.44,2024.0,-1.58
1776,Jarrod Bowen,5,5,14866.0,180.0,55.0,53.0,54.237297255545855,51.95378907956183,34.0,32.027638235129416,382.0,200.0,84.26978240255266,18.989873616956174,premier_league,West Ham,379.0,53.0,51.95378871215506,1.05,0.1398,0.1371,3.0,2.0,F,1.0,1.0,False,2.2945,0.3209,0.3145,0.1939,1.2108,0.5102,0.115,0.0064,61.6,0.223,73.9,0.529,65.9,0.316,75.3,0.62,55.5,-0.071,55.8,-0.0,25.4,-0.708,66.7,0.398,64.6,0.32,72.1,0.554,36,268,6,69,9,36,2,6,1.14,3.34,-0.04,-3.39,True,True,False,True,0.795,left,69,True,0.306,0.005,0.689,0.005,0.118,0.84,0.008,0.029,2020: +0.0 -> 2021: -0.9 -> 2022: -3.5 -> 2023: +2.5 -> 2024: +3.0,2024.0,2.95,2022.0,-3.48
