team_name,league,year,games_played,scored,missed,xG,xGA,match_xGD,match_npxGD,dominance,xGD_magnitude,dominance_gap,gk_save_ratio,goals_vs_xG_ratio_team,clinical,ultra_clinical,wasteful,ultra_wasteful,heist,grand_heist,robbery,grand_robbery,dominant_win,dropped_points,stolen_point,heroic_defence,gk_worldie,gk_nightmare,home_bottled,away_heist,fortress,perfect_heist,cruel,xGD_attack,xGD_defence,clinical_rate,heist_rate,robbery_rate,wasteful_rate,xG_per_game,xGA_per_game,goals_per_game,conceded_per_game,xGD_per_game,xGD_attack_zscore,xGD_defence_zscore,heist_rate_zscore,clinical_rate_zscore,robbery_rate_zscore,xGD_attack_rank,heist_rate_rank
AC Milan,serie_a,2020,38,74,41,75.047326,48.838073,-1.0473260000000004,14.454943,26.209253,0.8619736842105263,-0.6896842105263158,0.20628947368421055,1.0263157894736843,18,3,20,3,6,0,1,0,10,2,0,1,2,1,6,5,1,0,0,-1.047,-7.838,0.474,0.158,0.026,0.526,1.975,1.285,1.947,1.079,-0.028,-0.38454184681455866,-1.357361754519591,1.8778485264940978,0.2807210764193133,-0.9199654664854356,13,1
AC Milan,serie_a,2021,38,69,31,67.338108,34.63134,1.6618919999999997,7.840966000000001,32.706768,0.7507631578947368,-0.8607631578947369,0.2396842105263158,1.0928421052631578,17,3,20,2,3,0,2,1,11,1,2,0,0,2,4,2,1,0,0,1.662,-3.631,0.447,0.079,0.053,0.526,1.772,0.911,1.816,0.816,0.044,0.24927601859351575,-0.7307403485989408,0.337089017835188,0.35253635666287064,-0.46858084937099065,8,8
AC Milan,serie_a,2022,38,64,43,69.900789,40.1094743,-5.900789,-2.094286999999999,29.7913147,0.8878684210526315,-0.784,-0.004763157894736837,1.001236842105263,17,1,20,4,4,0,2,1,9,3,0,0,0,2,4,1,3,0,0,-5.901,2.891,0.447,0.105,0.053,0.526,1.839,1.056,1.684,1.132,-0.155,-0.6197993957782447,0.7022283722606054,0.638608818936328,0.5086437485396443,-0.611582765841136,16,5
AC Milan,serie_a,2023,38,76,49,71.855755,47.731906,4.144244999999999,10.234642999999998,24.123849000000003,0.6911842105263158,-0.6348421052631579,-0.015657894736842117,1.0666315789473686,22,1,14,2,2,0,2,0,6,5,1,3,3,5,5,2,0,0,0,4.144,1.268,0.579,0.053,0.053,0.368,1.891,1.256,2.0,1.289,0.109,1.038693933727883,0.6457358549691612,-0.38433187329316565,1.653488989297843,-0.4815374958873279,3,12
AC Milan,serie_a,2024,38,61,43,69.510141,47.271499,-8.510141,-2.4197539999999993,22.238642,0.7366578947368421,-0.5851578947368421,0.07344736842105262,0.837657894736842,15,2,21,2,1,0,4,2,8,3,0,0,0,0,4,1,0,0,2,-8.51,-4.271,0.395,0.026,0.105,0.553,1.829,1.244,1.605,1.132,-0.224,-1.2636154397029626,-0.1984947713950661,-0.6740312117796237,0.3818770317899278,1.1816387609122858,17,14
Ajaccio,ligue_1,2022,38,23,74,31.0596545,56.127001,-8.059654499999999,-1.2187914999999996,-25.0673465,0.5648157894736843,0.6596578947368421,-0.4612631578947368,1.0674473684210526,4,0,15,1,4,2,3,0,2,2,1,2,2,6,2,2,2,1,0,-8.06,17.873,0.105,0.105,0.079,0.395,0.817,1.477,0.605,1.947,-0.212,-0.7665476174973038,2.600965651390741,0.870331118653581,-2.5229231690765896,0.37427906947956213,16,3
Alaves,la_liga,2020,38,36,57,39.113484,51.5470642,-3.1134839999999997,2.8324805000000004,-12.4335802,0.48550000000000004,0.3271578947368421,-0.1749736842105263,0.9622105263157895,14,0,14,0,2,0,5,0,3,1,2,1,1,2,5,0,2,0,0,-3.113,5.453,0.368,0.053,0.132,0.368,1.029,1.357,0.947,1.5,-0.082,-0.5826348450757767,1.075729499516292,-0.4023827952849003,-0.3437420705295641,1.100016844276155,15,13
Alaves,la_liga,2021,38,31,65,38.464942,63.569279,-7.464942,-2.261998,-25.104337,0.5213947368421052,0.6606052631578948,0.028578947368421054,0.8248684210526316,12,0,18,1,2,0,2,0,2,0,0,1,3,2,4,1,1,0,0,-7.465,1.431,0.316,0.053,0.053,0.474,1.012,1.673,0.816,1.711,-0.196,-0.768046788873971,0.5728275628120405,-0.3419137724159595,-0.9234470202184932,-0.259976530206434,17,13
Alaves,la_liga,2023,38,36,46,51.968164,52.081662,-15.968164,-10.765224,-0.11349800000000076,0.8823157894736842,0.0029736842105263215,0.15994736842105264,0.7308684210526316,8,2,23,5,4,0,4,1,2,3,1,1,2,2,6,2,2,0,0,-15.968,-6.082,0.211,0.105,0.105,0.605,1.368,1.371,0.947,1.211,-0.42,-1.7195512848410515,-0.2836213640505733,0.5228159566616777,-1.535758642869142,0.49264217880104166,19,7
Alaves,la_liga,2024,38,38,48,46.376934,51.489311,-8.376934,-0.20088410000000056,-5.1123769999999995,0.6724473684210527,0.13457894736842105,-0.11121052631578947,0.8184473684210526,12,1,22,3,2,1,6,3,1,0,1,2,3,1,6,1,1,0,1,-8.377,-3.489,0.316,0.053,0.158,0.579,1.22,1.355,1.0,1.263,-0.22,-0.8820988655553437,0.12767502954805746,-0.6176366543599842,-0.928896426418165,1.38349967443878,15,14
Almeria,la_liga,2022,38,49,65,46.0934429,69.263279,2.9065571,5.1363810999999995,-23.1698361,0.5911578947368421,0.6096578947368421,-0.10515789473684209,1.3880526315789472,17,1,13,2,3,0,1,0,1,3,2,0,1,2,2,0,3,0,0,2.907,-4.263,0.447,0.079,0.026,0.342,1.213,1.823,1.289,1.711,0.076,1.425596014704186,0.11298340489662034,-0.4575245037962586,1.1794757597076477,-1.5944281416294996,2,13
Almeria,la_liga,2023,38,43,75,49.8956157,71.85109,-6.8956157000000005,-5.4090697,-21.9554743,0.9149736842105263,0.5777631578947368,-0.052657894736842105,1.2289210526315788,12,1,18,4,2,1,6,2,1,3,6,2,3,3,7,2,0,1,0,-6.896,3.149,0.316,0.053,0.158,0.474,1.313,1.891,1.132,1.974,-0.181,-0.3736993949197315,1.2519263260085716,-0.5778492152576438,-0.5599362071580386,1.5497286353376893,14,14
Angers,ligue_1,2020,38,40,58,39.917416,52.813853,0.08258400000000032,4.6428910000000005,-12.896436999999999,0.6630526315789474,0.3394736842105263,-0.05502631578947369,0.8425526315789474,15,2,15,0,3,1,1,0,2,0,1,0,0,4,1,1,2,0,0,0.083,5.186,0.395,0.079,0.026,0.395,1.05,1.39,1.053,1.526,0.002,-0.3492281651849324,0.4942909120636877,4.3430634909320337e-16,-0.3617236264636302,-1.3174006084447951,12,10
Angers,ligue_1,2021,38,44,55,45.208287,51.693048,-1.2082869999999999,5.632378,-6.484761,0.5302105263157895,0.1706578947368421,-0.1380263157894737,0.9324736842105262,14,1,18,2,0,0,4,0,2,0,1,0,1,3,3,0,0,0,0,-1.208,3.307,0.368,0.0,0.105,0.474,1.19,1.36,1.158,1.447,-0.032,-0.4690928766170327,0.2042141013860632,-1.7903304843169394,-0.6895848076319433,0.5578057401244518,14,20
Angers,ligue_1,2022,38,33,81,41.042115,66.072039,-8.042115,-5.001729,-25.029924,0.6215526315789474,0.6586578947368421,-0.33163157894736844,0.9236052631578948,10,0,20,2,1,0,2,1,1,0,2,0,0,5,2,0,1,0,0,-8.042,14.928,0.263,0.026,0.053,0.526,1.08,1.739,0.868,2.132,-0.212,-0.7640311838894995,2.22639932865343,-0.7765229741280456,-1.158947597770854,-0.24162319675262844,15,16
Angers,ligue_1,2024,34,32,53,39.6050678,64.624071,-7.6050678000000005,-3.0444979000000005,-25.0190032,0.5242058823529412,0.7358823529411764,0.16038235294117648,0.7055588235294118,10,0,15,0,1,0,1,0,3,1,1,1,3,0,0,1,0,0,0,-7.605,-11.624,0.294,0.029,0.029,0.441,1.165,1.901,0.941,1.559,-0.224,-0.32175033830900995,-0.9256486127334811,-0.9220773014688515,-1.093822902971249,-0.860935991715308,11,15
Arminia Bielefeld,bundesliga,2020,34,26,52,31.139688,58.981925,-5.139688,-3.601859,-27.842237,0.6266470588235294,0.8189411764705883,0.19191176470588237,3.79735294117647,9,0,15,1,3,2,3,0,1,0,3,0,2,2,3,1,2,0,0,-5.14,-6.982,0.265,0.088,0.088,0.441,0.916,1.735,0.765,1.529,-0.151,-1.049838020567175,-1.8608783319030355,0.2371638367549957,-1.3343123567037318,0.21137187501104954,15,7
Arminia Bielefeld,bundesliga,2021,34,27,53,27.224387,69.665552,-0.2243870000000006,1.2910919999999997,-42.441165,0.5151470588235294,1.2483529411764707,0.15385294117647058,0.9776764705882353,11,0,11,0,2,0,0,0,0,0,7,3,8,1,1,1,1,0,0,-0.224,-16.666,0.324,0.059,0.0,0.324,0.801,2.049,0.794,1.559,-0.007,-0.0277087039929301,-1.9948516551170161,-0.1629771684245963,-0.935024633267522,-1.5393888728604532,7,10
Arsenal,premier_league,2020,38,55,39,52.247381,43.232285,2.752619,7.319637999999999,9.015096000000002,0.779921052631579,-0.23731578947368423,-0.08426315789473686,0.9633684210526315,19,2,16,3,4,0,5,1,7,2,2,3,3,1,4,1,3,0,0,2.753,-4.232,0.5,0.105,0.132,0.421,1.375,1.138,1.447,1.026,0.072,0.4587933379144928,-0.6913659148561498,0.6440344375887885,0.947495038874197,1.0767130048523885,6,6
Arsenal,premier_league,2021,38,61,48,63.391577,48.389506,-2.3915770000000003,3.808524,15.002071000000003,0.7888421052631579,-0.39481578947368423,0.01736842105263156,0.8529736842105262,14,4,19,1,2,0,2,1,10,1,0,1,2,2,3,2,0,0,0,-2.392,-0.39,0.368,0.053,0.053,0.5,1.668,1.273,1.605,1.263,-0.063,-0.33338721203904637,-0.0007489475238409099,-0.4082644042830764,-0.5857616905252426,-0.43730657646261606,13,13
Arsenal,premier_league,2022,38,88,43,76.512308,45.1633923,11.487692,14.532376,31.3489157,0.7692105263157895,-0.824921052631579,-0.18902631578947368,1.1199473684210526,23,4,13,0,2,1,0,0,14,0,1,3,4,4,2,2,0,1,0,11.488,-2.163,0.605,0.053,0.0,0.342,2.013,1.189,2.316,1.132,0.302,1.705134120764959,-0.00447264700414869,-0.5626236363163131,1.9313613310440043,-1.2727403686963792,2,15
Arsenal,premier_league,2023,38,91,29,84.392479,31.782125399999998,6.607520999999998,14.219171,52.6103536,1.1146842105263157,-1.3845263157894738,0.051394736842105264,1.1191315789473684,20,5,17,3,3,1,4,2,16,1,0,2,2,1,4,1,2,1,1,6.608,-2.782,0.526,0.079,0.105,0.447,2.221,0.836,2.395,0.763,0.174,1.2168031944428277,-0.1110671904241194,-0.0020316449905592774,0.9947807084099729,0.4644182370541454,2,9
Arsenal,premier_league,2024,38,69,34,73.569905,39.9798617,-4.569905,-3.0475650000000005,33.5900433,0.8498684210526316,-0.8839473684210527,-0.033842105263157896,0.9419210526315789,16,2,22,1,1,1,3,0,9,2,1,1,1,1,6,0,1,0,0,-4.57,-5.98,0.421,0.026,0.079,0.579,1.936,1.052,1.816,0.895,-0.12,0.08167473627253531,-0.17713174090592007,-1.2797297767431033,0.48956350013732464,0.02844633200381974,10,19
Aston Villa,premier_league,2020,38,55,46,56.715489,53.2525562,-1.7154889999999998,2.8515279999999996,3.4629327999999995,0.7388421052631579,-0.09118421052631578,0.10473684210526314,0.9385526315789473,20,1,16,3,4,2,6,3,3,2,2,3,4,2,5,2,2,1,2,-1.715,-7.253,0.526,0.105,0.158,0.421,1.493,1.401,1.447,1.211,-0.045,-0.12385105455390875,-1.2938456300840118,0.6440344375887885,1.1874840404399947,1.6321601898952873,12,6
Aston Villa,premier_league,2021,38,52,54,43.129543,53.095725,8.870457,11.153965000000001,-9.966182,0.6883157894736842,0.26223684210526316,0.009447368421052631,1.3740789473684212,18,2,13,0,3,0,3,0,2,0,1,1,2,3,2,3,0,0,0,8.87,0.904,0.474,0.079,0.079,0.342,1.135,1.397,1.368,1.421,0.233,1.5379746051831433,0.2146150737761921,0.07096243595890928,0.5054639543899707,0.07485427885396156,2,8
Aston Villa,premier_league,2022,38,51,46,49.995345,53.955537,1.0046550000000003,4.049334,-3.9601919999999997,0.7186842105263157,0.10421052631578948,0.10160526315789473,1.3390263157894737,15,1,15,3,2,1,2,1,2,1,1,2,2,1,2,1,1,1,0,1.005,-7.956,0.395,0.053,0.053,0.395,1.316,1.42,1.342,1.211,0.026,0.3923461516125601,-0.7458186869192703,-0.5626236363163131,0.027649153061179106,-0.43217663609939344,6,15
Aston Villa,premier_league,2023,38,76,61,67.4225935,65.075812,8.5774065,11.6220865,2.346781499999998,0.7935263157894736,-0.06176315789473685,-0.016184210526315794,1.1138157894736842,22,4,15,1,5,1,3,0,6,0,1,4,5,4,3,3,2,0,0,8.577,-4.076,0.579,0.132,0.079,0.395,1.774,1.713,2.0,1.605,0.226,1.4974093479119726,-0.2798131624903521,1.0747402000056776,1.5939099987023424,2.4788837491987315e-16,1,3
Aston Villa,premier_league,2024,38,58,51,66.385246,54.998103,-8.385246000000002,-3.710806000000002,11.387143000000002,0.6954473684210526,-0.2996842105263158,0.03768421052631578,0.8912368421052631,12,2,23,3,2,1,2,0,8,3,1,0,2,1,5,2,0,1,0,-8.385,-3.998,0.316,0.053,0.053,0.605,1.747,1.447,1.526,1.342,-0.221,-0.523059118904024,0.21532827862963788,-0.612044675833658,-0.9072888779718915,-0.5632373736756238,15,15
