team_name,league,year,h_a,games_played,scored,missed,xG,xGA,match_xGD,match_npxGD,dominance,xGD_magnitude,dominance_gap,gk_save_ratio,goals_vs_xG_ratio_team,clinical,ultra_clinical,wasteful,ultra_wasteful,heist,grand_heist,robbery,grand_robbery,dominant_win,dropped_points,stolen_point,heroic_defence,gk_worldie,gk_nightmare,home_bottled,away_heist,fortress,perfect_heist,cruel,clinical_rate,heist_rate,robbery_rate,wasteful_rate,xG_per_game,xGA_per_game,goals_per_game,conceded_per_game,xGD_per_game
AC Milan,serie_a,2020,a,19,43,17,37.119001,24.307405,5.880998999999999,15.293085999999999,12.811596000000002,0.9630000000000001,-0.6742631578947368,0.2085263157894737,1.2536315789473684,10,3,9,1,5,0,0,0,5,0,0,1,2,1,0,5,0,0,0,0.526,0.263,0.0,0.474,1.954,1.279,2.263,0.895,0.31
AC Milan,serie_a,2020,h,19,31,24,37.928325,24.530668,-6.928325,-0.8381430000000001,13.397657,0.7609473684210526,-0.7051052631578947,0.20405263157894735,0.7989999999999999,8,0,11,2,1,0,1,0,5,2,0,0,0,0,6,0,1,0,0,0.421,0.053,0.053,0.579,1.996,1.291,1.632,1.263,-0.365
AC Milan,serie_a,2021,a,19,41,19,34.901264,19.913815,6.098736,7.621336,14.987449,0.854,-0.7887368421052632,0.08752631578947367,1.337157894736842,10,3,9,0,2,0,1,0,5,0,1,0,0,1,0,2,0,0,0,0.526,0.105,0.053,0.474,1.837,1.048,2.158,1.0,0.321
AC Milan,serie_a,2021,h,19,28,12,32.436844,14.717525,-4.436844000000001,0.21963,17.719319,0.6475263157894737,-0.9327894736842105,0.39184210526315794,0.8485263157894737,7,0,11,2,1,0,1,1,6,1,1,0,0,1,4,0,1,0,0,0.368,0.053,0.053,0.579,1.707,0.775,1.474,0.632,-0.234
AC Milan,serie_a,2022,a,19,23,23,29.742494999999998,22.612874,-6.742495,-5.219893,7.129620999999999,0.7216315789473684,-0.3753157894736842,0.06947368421052631,0.7247368421052631,7,0,11,2,1,0,1,0,3,1,0,0,0,0,0,1,0,0,0,0.368,0.053,0.053,0.579,1.565,1.19,1.211,1.211,-0.355
AC Milan,serie_a,2022,h,19,41,20,40.158294,17.4966003,0.8417060000000001,3.1256060000000003,22.6616937,1.0541052631578947,-1.1926842105263158,-0.07899999999999997,1.2777368421052633,10,1,9,2,3,0,1,1,6,2,0,0,0,2,4,0,3,0,0,0.526,0.158,0.053,0.474,2.114,0.921,2.158,1.053,0.044
AC Milan,serie_a,2023,a,19,38,32,34.359323,25.834016,3.6406769999999993,5.924575,8.525307000000002,0.5798947368421054,-0.4486842105263158,-0.3038947368421053,1.1380526315789474,12,0,6,0,2,0,1,0,2,2,1,2,2,4,0,2,0,0,0,0.632,0.105,0.053,0.316,1.808,1.36,2.0,1.684,0.192
AC Milan,serie_a,2023,h,19,38,17,37.496432,21.89789,0.5035679999999991,4.310067999999999,15.598542,0.8024736842105263,-0.8210000000000001,0.27257894736842103,0.9952105263157894,10,1,8,2,0,0,1,0,4,3,0,1,1,1,5,0,0,0,0,0.526,0.0,0.053,0.421,1.973,1.153,2.0,0.895,0.027
AC Milan,serie_a,2024,a,19,31,27,37.841776,26.750828,-6.841776,-3.0352859999999997,11.090948,0.8203684210526315,-0.5836842105263158,-0.05073684210526317,0.8563157894736841,8,1,11,2,1,0,4,2,4,0,0,0,0,0,0,1,0,0,2,0.421,0.053,0.211,0.579,1.992,1.408,1.632,1.421,-0.36
AC Milan,serie_a,2024,h,19,30,16,31.668365,20.520671,-1.6683649999999999,0.6155320000000002,11.147694,0.6529473684210526,-0.5866315789473684,0.1976315789473684,0.819,7,1,10,0,0,0,0,0,4,3,0,0,0,0,4,0,0,0,0,0.368,0.0,0.0,0.526,1.667,1.08,1.579,0.842,-0.088
Ajaccio,ligue_1,2022,a,19,13,44,13.3242579,28.617574,-0.32425789999999965,2.7161271,-15.2933161,0.5466315789473684,0.8049473684210526,-0.7362105263157894,1.4695263157894736,2,0,7,0,2,1,1,0,0,2,0,0,0,3,0,2,0,1,0,0.105,0.105,0.053,0.368,0.701,1.506,0.684,2.316,-0.017
Ajaccio,ligue_1,2022,h,19,10,30,17.7353966,27.509427,-7.7353966,-3.9349185999999996,-9.7740304,0.583,0.5143684210526316,-0.18631578947368418,0.6653684210526315,2,0,8,1,2,1,2,0,2,0,1,2,2,3,2,0,2,0,0,0.105,0.105,0.105,0.421,0.933,1.448,0.526,1.579,-0.407
Alaves,la_liga,2020,a,19,15,32,16.898965,28.257432,-1.898965,1.8172885,-11.358467000000001,0.38584210526315793,0.5976842105263158,-0.22094736842105261,0.7260526315789474,7,0,6,0,0,0,2,0,1,1,1,1,1,1,0,0,0,0,0,0.368,0.0,0.105,0.316,0.889,1.487,0.789,1.684,-0.1
Alaves,la_liga,2020,h,19,21,25,22.214519,23.2896322,-1.214519,1.0151920000000003,-1.0751131999999997,0.5851578947368421,0.056631578947368436,-0.129,1.1983684210526317,7,0,8,0,2,0,3,0,2,0,1,0,0,1,5,0,2,0,0,0.368,0.105,0.158,0.421,1.169,1.226,1.105,1.316,-0.064
Alaves,la_liga,2021,a,19,14,44,14.019699,41.00724,-0.019698999999999744,1.4668570000000003,-26.987541,0.5019473684210527,1.4203157894736842,-0.14842105263157893,1.0059473684210527,7,0,6,0,1,0,1,0,0,0,0,1,3,1,0,1,0,0,0,0.368,0.053,0.053,0.316,0.738,2.158,0.737,2.316,-0.001
Alaves,la_liga,2021,h,19,17,21,24.445243,22.562039,-7.445243,-3.7288550000000003,1.8832039999999997,0.5408421052631579,-0.09910526315789472,0.20557894736842106,0.6437894736842105,5,0,12,1,1,0,1,0,2,0,0,0,0,1,4,0,1,0,0,0.263,0.053,0.053,0.632,1.287,1.187,0.895,1.105,-0.392
Alaves,la_liga,2023,a,19,13,27,22.221517,32.747793,-9.221517,-6.248407,-10.526276000000001,0.748,0.5539999999999999,0.18063157894736845,0.4914736842105263,3,0,11,1,2,0,1,0,0,2,0,1,2,1,0,2,0,0,0,0.158,0.105,0.053,0.579,1.17,1.724,0.684,1.421,-0.485
Alaves,la_liga,2023,h,19,23,19,29.746647,19.333869,-6.746646999999999,-4.516817,10.412778,1.0166315789473683,-0.5480526315789473,0.13926315789473684,0.9702631578947368,5,2,12,4,2,0,3,1,2,1,1,0,0,1,6,0,2,0,0,0.263,0.105,0.158,0.632,1.566,1.018,1.211,1.0,-0.355
Alaves,la_liga,2024,a,19,24,31,23.82873,31.196099,0.17127000000000048,4.6309328999999995,-7.367368999999999,0.6159473684210526,0.3877894736842105,-0.08889473684210526,0.897842105263158,8,1,9,0,1,0,2,1,1,0,0,1,2,1,0,1,0,0,1,0.421,0.053,0.105,0.474,1.254,1.642,1.263,1.632,0.009
Alaves,la_liga,2024,h,19,14,17,22.548204000000002,20.293212,-8.548204,-4.831817,2.254992,0.7289473684210526,-0.11863157894736842,-0.13352631578947372,0.7390526315789474,4,0,13,3,1,1,4,2,0,0,1,1,1,0,6,0,1,0,0,0.211,0.053,0.211,0.684,1.187,1.068,0.737,0.895,-0.45
Almeria,la_liga,2022,a,19,20,43,20.5457219,40.798741,-0.5457219000000003,0.9408320999999998,-20.2530191,0.5437368421052632,1.065842105263158,-0.31263157894736837,1.6472631578947368,7,0,8,0,0,0,1,0,0,1,1,0,1,2,0,0,0,0,0,0.368,0.0,0.053,0.421,1.081,2.147,1.053,2.263,-0.029
Almeria,la_liga,2022,h,19,29,22,25.547721,28.464538,3.4522790000000003,4.195549,-2.916817000000001,0.638578947368421,0.15347368421052623,0.10231578947368421,1.1288421052631579,10,1,5,2,3,0,0,0,1,2,1,0,0,0,2,0,3,0,0,0.526,0.158,0.0,0.263,1.345,1.498,1.526,1.158,0.182
Almeria,la_liga,2023,a,19,21,39,18.1800527,40.155447,2.8199473,4.3064933,-21.975394299999998,0.64,1.1565789473684212,0.03699999999999999,1.5107368421052632,8,0,6,0,2,1,3,0,0,0,3,1,2,2,0,2,0,1,0,0.421,0.105,0.158,0.316,0.957,2.113,1.105,2.053,0.148
Almeria,la_liga,2023,h,19,22,36,31.715563,31.695643,-9.715563,-9.715563,0.019920000000000826,1.1899473684210526,-0.0010526315789473927,-0.1423157894736842,0.9471052631578948,4,1,12,4,0,0,3,2,1,3,3,1,1,1,7,0,0,0,0,0.211,0.0,0.158,0.632,1.669,1.668,1.158,1.895,-0.511
Angers,ligue_1,2020,a,19,20,31,20.594423,27.940067,-0.5944229999999998,0.9257590000000006,-7.345643999999999,0.6854210526315789,0.3867368421052632,-0.04289473684210527,0.8742105263157894,7,1,9,0,1,0,1,0,0,0,1,0,0,3,0,1,0,0,0,0.368,0.053,0.053,0.474,1.084,1.471,1.053,1.632,-0.031
Angers,ligue_1,2020,h,19,20,27,19.322993,24.873786,0.677007,3.7171320000000003,-5.550793,0.6406842105263157,0.2922105263157895,-0.06715789473684212,0.8108947368421052,8,1,6,0,2,1,0,0,2,0,0,0,0,1,1,0,2,0,0,0.421,0.105,0.0,0.316,1.017,1.309,1.053,1.421,0.036
Angers,ligue_1,2021,a,19,21,32,19.47559,29.493290000000002,1.52441,3.804692,-10.0177,0.46842105263157896,0.5272105263157895,-0.11363157894736842,1.067,8,0,9,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0.421,0.0,0.053,0.474,1.025,1.552,1.105,1.684,0.08
Angers,ligue_1,2021,h,19,23,23,25.732696999999998,22.199758,-2.732697,1.8276860000000001,3.5329390000000007,0.592,-0.18589473684210525,-0.16242105263157897,0.7979473684210526,6,1,9,2,0,0,3,0,2,0,0,0,0,1,3,0,0,0,0,0.316,0.0,0.158,0.474,1.354,1.168,1.211,1.211,-0.144
Angers,ligue_1,2022,a,19,13,45,17.516581,33.984986,-4.5165809999999995,-2.9963889999999997,-16.468405,0.6567368421052632,0.8667368421052631,-0.29189473684210526,0.7491578947368421,5,0,9,1,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0.263,0.0,0.053,0.474,0.922,1.789,0.684,2.368,-0.238
Angers,ligue_1,2022,h,19,20,36,23.525534,32.087053,-3.5255340000000004,-2.0053400000000003,-8.561519,0.5863684210526315,0.450578947368421,-0.37136842105263157,1.0980526315789474,5,0,11,1,1,0,1,1,1,0,1,0,0,2,2,0,1,0,0,0.263,0.053,0.053,0.579,1.238,1.689,1.053,1.895,-0.186
Angers,ligue_1,2024,a,17,14,20,19.8913158,30.210359,-5.8913158,-3.6110358000000007,-10.3190432,0.5391764705882354,0.607,0.20952941176470588,0.726,3,0,9,0,1,0,1,0,2,1,1,1,3,0,0,1,0,0,0,0.176,0.059,0.059,0.529,1.17,1.777,0.824,1.176,-0.347
Angers,ligue_1,2024,h,17,18,33,19.713752,34.413712000000004,-1.7137520000000004,0.5665378999999998,-14.69996,0.509235294117647,0.864764705882353,0.11123529411764706,0.6851176470588235,7,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.412,0.0,0.0,0.353,1.16,2.024,1.059,1.941,-0.101
Arminia Bielefeld,bundesliga,2020,a,17,13,29,15.474962,31.355417,-2.4749619999999997,-1.7171830000000001,-15.880455000000001,0.5269411764705882,0.9342941176470588,0.1518235294117647,0.7314705882352941,6,0,8,0,1,0,1,0,0,0,2,0,0,1,0,1,0,0,0,0.353,0.059,0.059,0.471,0.91,1.844,0.765,1.706,-0.146
Arminia Bielefeld,bundesliga,2020,h,17,13,23,15.664726,27.626508,-2.664726,-1.8846759999999998,-11.961782,0.7263529411764705,0.7035882352941176,0.23199999999999998,6.863235294117647,3,0,7,1,2,2,2,0,1,0,1,0,2,1,3,0,2,0,0,0.176,0.118,0.118,0.412,0.921,1.625,0.765,1.353,-0.157
Arminia Bielefeld,bundesliga,2021,a,17,12,30,13.368149,38.408246,-1.3681490000000003,-1.3681490000000003,-25.040097,0.4750588235294118,1.473,0.23199999999999998,0.7772352941176471,6,0,4,0,1,0,0,0,0,0,2,1,4,1,0,1,0,0,0,0.353,0.059,0.0,0.235,0.786,2.259,0.706,1.765,-0.08
Arminia Bielefeld,bundesliga,2021,h,17,15,23,13.856238,31.257306,1.1437619999999997,2.6592409999999997,-17.401068,0.555235294117647,1.023705882352941,0.07570588235294119,1.1781176470588235,5,0,7,0,1,0,0,0,0,0,5,2,4,0,1,0,1,0,0,0.294,0.059,0.0,0.412,0.815,1.839,0.882,1.353,0.067
Arsenal,premier_league,2020,a,19,31,18,29.121555,20.324856,1.8784450000000001,4.16195,8.796699,0.6398947368421052,-0.4630526315789474,0.0506842105263158,0.96,10,1,9,1,1,0,2,0,5,1,2,2,2,1,0,1,0,0,0,0.526,0.053,0.105,0.474,1.533,1.07,1.632,0.947,0.099
Arsenal,premier_league,2020,h,19,24,21,23.125826,22.907429,0.874174,3.1576879999999994,0.21839700000000017,0.9199473684210526,-0.011578947368421064,-0.21921052631578952,0.9667368421052632,9,1,7,2,3,0,3,1,2,1,0,1,1,0,4,0,3,0,0,0.474,0.158,0.158,0.368,1.217,1.206,1.263,1.105,0.046
Arsenal,premier_league,2021,a,19,26,31,22.486273999999998,29.436977,3.5137260000000006,5.036066,-6.950702999999999,0.7963157894736842,0.3657894736842105,-0.039052631578947394,0.8927368421052632,7,3,7,0,2,0,1,0,2,0,0,1,1,1,0,2,0,0,0,0.368,0.105,0.053,0.368,1.183,1.549,1.368,1.632,0.185
Arsenal,premier_league,2021,h,19,35,17,40.905303,18.952529,-5.905303000000001,-1.2275420000000008,21.952774,0.7813684210526316,-1.155421052631579,0.07378947368421052,0.8132105263157895,7,1,12,1,0,0,1,1,8,1,0,0,1,1,3,0,0,0,0,0.368,0.0,0.053,0.632,2.153,0.998,1.842,0.895,-0.311
Arsenal,premier_league,2022,a,19,35,18,31.56077,24.4809503,3.43923,4.2004,7.0798197,0.6651578947368421,-0.3725263157894737,0.18078947368421056,1.1319473684210528,10,1,7,0,2,1,0,0,5,0,1,2,3,2,0,2,0,1,0,0.526,0.105,0.0,0.368,1.661,1.288,1.842,0.947,0.181
Arsenal,premier_league,2022,h,19,53,25,44.951538,20.682442,8.048462,10.331976,24.269096,0.8732631578947367,-1.2773157894736842,-0.5588421052631579,1.1079473684210528,13,3,6,0,0,0,0,0,9,0,0,1,1,2,2,0,0,0,0,0.684,0.0,0.0,0.316,2.366,1.089,2.789,1.316,0.424
Arsenal,premier_league,2023,a,19,43,13,36.971861000000004,16.496366000000002,6.0281389999999995,10.595108999999999,20.475495000000002,1.0988421052631578,-1.077736842105263,0.26194736842105265,1.081842105263158,10,3,9,1,1,1,2,1,6,0,0,1,1,1,0,1,0,1,1,0.526,0.053,0.105,0.474,1.946,0.868,2.263,0.684,0.317
Arsenal,premier_league,2023,h,19,48,16,47.420618,15.2857594,0.5793819999999994,3.6240619999999995,32.1348586,1.1305263157894736,-1.691315789473684,-0.1591578947368421,1.156421052631579,10,2,8,2,2,0,2,1,10,1,0,1,1,0,4,0,2,0,0,0.526,0.105,0.105,0.421,2.496,0.805,2.526,0.842,0.03
Arsenal,premier_league,2024,a,19,34,17,35.325211,21.513209,-1.325211,0.19712900000000033,13.812002,0.7854210526315789,-0.7269473684210526,-0.0888421052631579,0.8642105263157894,8,1,11,0,0,0,1,0,5,1,1,0,0,0,0,0,0,0,0,0.421,0.0,0.053,0.579,1.859,1.132,1.789,0.895,-0.07
Arsenal,premier_league,2024,h,19,35,17,38.244694,18.4666527,-3.244694000000001,-3.244694000000001,19.7780413,0.9143157894736842,-1.0409473684210526,0.021157894736842136,1.0196315789473684,8,1,11,1,1,1,2,0,4,1,0,1,1,1,6,0,1,0,0,0.421,0.053,0.105,0.579,2.013,0.972,1.842,0.895,-0.171
Aston Villa,premier_league,2020,a,19,26,19,25.996488,25.7689232,0.0035119999999998486,2.2870199999999996,0.22756480000000012,0.5388947368421053,-0.011999999999999993,0.1217894736842105,0.9675789473684211,12,0,6,0,2,1,3,2,1,0,1,2,2,1,0,2,0,1,2,0.632,0.105,0.158,0.316,1.368,1.356,1.368,1.0,0.0
Aston Villa,premier_league,2020,h,19,29,27,30.719001,27.483633,-1.7190009999999996,0.564508,3.235368,0.9387894736842105,-0.17036842105263159,0.08768421052631578,0.9095263157894736,8,1,10,3,2,1,3,1,2,2,1,1,2,1,5,0,2,0,0,0.421,0.105,0.158,0.526,1.617,1.447,1.526,1.421,-0.09
Aston Villa,premier_league,2021,a,19,23,25,20.110889,26.013466,2.8891110000000007,4.41145,-5.902577000000001,0.6846842105263158,0.3106315789473684,-0.011789473684210518,1.3992631578947368,6,1,9,0,3,0,2,0,0,0,0,1,2,2,0,3,0,0,0,0.316,0.158,0.105,0.474,1.058,1.369,1.211,1.316,0.152
Aston Villa,premier_league,2021,h,19,29,29,23.018654,27.082259,5.981345999999999,6.742515,-4.063605,0.6919473684210526,0.21384210526315792,0.030684210526315776,1.3488947368421054,12,1,4,0,0,0,1,0,2,0,1,0,0,1,2,0,0,0,0,0.632,0.0,0.053,0.211,1.212,1.425,1.526,1.526,0.315
Aston Villa,premier_league,2022,a,19,18,25,19.828159,31.381322,-1.8281589999999994,0.45535000000000014,-11.553163,0.709578947368421,0.6081052631578947,-0.012263157894736813,1.1242631578947369,6,0,8,2,1,1,1,0,0,1,0,2,2,0,0,1,0,1,0,0.316,0.053,0.053,0.421,1.044,1.652,0.947,1.316,-0.096
Aston Villa,premier_league,2022,h,19,33,21,30.167186,22.574215,2.832814,3.593984,7.592971,0.7277894736842105,-0.3996842105263158,0.21547368421052635,1.5537894736842104,9,1,7,1,1,0,1,1,2,0,1,0,0,1,2,0,1,0,0,0.474,0.053,0.053,0.368,1.588,1.188,1.737,1.105,0.149
Aston Villa,premier_league,2023,a,19,28,33,27.4984575,36.387104,0.501542500000001,0.501542500000001,-8.888646500000002,0.6553684210526316,0.46778947368421053,0.01568421052631579,0.903,9,1,9,0,3,0,2,0,1,0,1,2,3,2,0,3,0,0,0,0.474,0.158,0.105,0.474,1.447,1.915,1.474,1.737,0.026
Aston Villa,premier_league,2023,h,19,48,28,39.924136,28.688708,8.075864,11.120544,11.235427999999999,0.9316842105263159,-0.5913157894736841,-0.048052631578947375,1.3246315789473684,13,3,6,1,2,1,1,0,5,0,0,2,2,2,3,0,2,0,0,0.684,0.105,0.053,0.316,2.101,1.51,2.526,1.474,0.425
